Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Accelerator Program Type,Accelerator Duration (in weeks)
Third Wave Digital,https://www.crunchbase.com/organization/third-wave-digital,58,7,"Beverly Hills, California, United States",Third Wave is an early stage Venture Capital firm focused on the Digital Media sector.,"Micro VC, Venture Capital","Early Stage Venture, Seed",50,,
North Coast Angel Fund,https://www.crunchbase.com/organization/north-coast-angel-fund,58,3,"Cleveland, Ohio, United States","North Coast Angel Fund is a contributed capital and sidecar pre-seed investment fund, focusing on early-stage technology investments.",Angel Group,"Early Stage Venture, Seed",42,,
NGEN Partners,https://www.crunchbase.com/organization/ngen-ventures,58,11,"New York, New York, United States",NGEN Partners is an active venture investor committed to backing world class entrepreneurs.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity",33,,
The Perkins Fund,https://www.crunchbase.com/organization/the-perkins-fund,58,5,"San Francisco, California, United States",The Perkins Fund is boutique venture capital fund that invests in people and companies that matter.,Micro VC,"Early Stage Venture, Late Stage Venture, Seed",36,,
New Venture Partners,https://www.crunchbase.com/organization/new-venture-partners,58,20,"Berkeley Heights, New Jersey, United States","New Venture Partners is a global venture capital firm specializing in corporate spinouts, and seed-, early-, and mid-stage investments.",Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",35,,
Easton Capital,https://www.crunchbase.com/organization/easton-capital,58,10,"New York, New York, United States",Easton Capital is a New York-based investment group specializing in healthcare and life sciences companies.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",38,,
Mellon Ventures,https://www.crunchbase.com/organization/mellon-ventures-2,58,24,"Pittsburgh, Pennsylvania, United States",Venture capital and buyout fund sponsored by Mellon Financial Corporation.,Venture Capital,,44,,
Citigroup,https://www.crunchbase.com/organization/citigroup,57,16,"New York, New York, United States",Citigroup is a diversified financial services holding company that provides various financial products and services.,Private Equity Firm,"Early Stage Venture, Late Stage Venture",52,,
Elemental Excelerator,https://www.crunchbase.com/organization/energy-excelerator,57,5,"Honolulu, Hawaii, United States",Elemental Excelerator funds startups up to $1 million for demonstration projects.,Accelerator,Grant,52,,
Triangle Peak Partners,https://www.crunchbase.com/organization/triangle-peak-partners,57,15,"Carmel Valley, California, United States",Triangle Peak Partners conducts private investments in companies where it can work with management and help create value.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",39,,
TenOneTen Ventures,https://www.crunchbase.com/organization/tenoneten-ventures,57,8,"Los Angeles, California, United States","TenOneTen Ventures, a Los Angeles-based venture firm, invests in start-ups that apply data and technology to disrupt existing industries.",Venture Capital,"Early Stage Venture, Seed",47,,
Haystack,https://www.crunchbase.com/organization/haystack,57,6,"Menlo Park, California, United States",Haystack is an early stage investment fund founded in 2013.,"Micro VC, Venture Capital",,52,,
Flight Ventures,https://www.crunchbase.com/organization/flight-ventures,57,6,"San Francisco, California, United States",Flight Ventures is a San Francisco-based venture capital firm that invests in SaaS and financial services.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",56,,
Kinetic Ventures,https://www.crunchbase.com/organization/kinetic-ventures,57,13,"Chevy Chase, Maryland, United States","Kinetic Ventures is a leading venture capital investor in high growth, industry defining communications, information and power/clean",Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",31,,
Middleland Capital,https://www.crunchbase.com/organization/middleland-capital,57,8,"Washington, District of Columbia, United States",Middleland is a DC based investment firm that focuses on early stage technology opportunities around the world.,Venture Capital,"Early Stage Venture, Seed",36,,
Grace Beauty Capital,https://www.crunchbase.com/organization/grace-beauty-capital,57,3,"New York, New York, United States","Grace Beauty Capital, a New York-based early-stage investment firm, specializes in next generation consumer companies.",Venture Capital,"Early Stage Venture, Secondary Market, Seed",32,,
Garry Tan,https://www.crunchbase.com/person/garry-tan,57,16,"San Francisco, California, United States","Garry Tan is a Managing Partner at Initialized Capital, an early stage seed fund with over $250M under management. He was previously partne...","Individual/Angel, Investment Partner",Seed,53,,
Milestone Venture Partners,https://www.crunchbase.com/organization/milestone-venture-partners,57,12,"New York, New York, United States",Milestone is an early stage venture capital fund with $108m under management which invests in software and data services businesses.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",37,,
Gotham Ventures,https://www.crunchbase.com/organization/gotham-ventures,57,15,"New York, New York, United States",Gotham Ventures is a venture capital firm investing in early stage information technology start-ups.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",33,,
Dave Morin,https://www.crunchbase.com/person/dave-morin,57,26,"San Francisco, California, United States",Dave is an entrepreneur & investor.  He is Founder & Partner at Slow Ventures. A leading Silicon Valley venture capital firm that champio...,"Individual/Angel, Investment Partner",Seed,54,,
Valar Ventures,https://www.crunchbase.com/organization/valar-ventures,56,4,"New York, New York, United States","Valar Ventures is a venture capital firm backed by Peter Thiel. Based in NYC, Valar partners with entrepreneurs globally.",Venture Capital,"Early Stage Venture, Late Stage Venture",31,,
Rough Draft Ventures,https://www.crunchbase.com/organization/rough-draft-ventures,56,2,"Cambridge, Massachusetts, United States","Rough Draft Ventures is a student-led team that funds technology-focused university entrepreneurs in Boston, Massachusetts.",Micro VC,Seed,53,,
Shea Ventures,https://www.crunchbase.com/organization/shea-ventures,56,14,"Walnut, California, United States","In 1968, while the semiconductor and biotechnology industries in the San Francisco Bay Area were on the verge of carrying the world into",Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",41,,
Chevron Technology Ventures,https://www.crunchbase.com/organization/chevron-technology-ventures,56,17,"Houston, Texas, United States","Chevron Technology Ventures champions innovation, commercialization and integration of emerging technologies within Chevron.","Corporate Venture Capital, Venture Capital","Early Stage Venture, Late Stage Venture",37,,
Visionnaire Ventures,https://www.crunchbase.com/organization/visionnaire-ventures,56,4,"San Francisco, California, United States",Visionnaire Ventures is a global technology investment firm focused on visionary people and ideas that can become market leaders.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",42,,
Longitude Capital,https://www.crunchbase.com/organization/longitude-capital,56,14,"Menlo Park, California, United States",Longitude Capital is a California-based venture capital firm that invests in biotechnology and medical technology companies.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity",34,,
Grape Arbor VC,https://www.crunchbase.com/organization/grape-arbor-vc,56,15,"New York, New York, United States",Grape Arbor is an angel investor group that invests in technology and startup spaces.,Angel Group,"Early Stage Venture, Seed",53,,
Vanguard Ventures,https://www.crunchbase.com/organization/vanguard-ventures,56,18,"San Jose, California, United States",Vanguard Ventures is a leading early stage venture capital firm that helps entrepreneurs build pioneering technology and life science,Venture Capital,"Early Stage Venture, Late Stage Venture",29,,
NeoCarta Ventures,https://www.crunchbase.com/organization/neocarta-ventures,56,23,"San Mateo, California, United States","NeoCarta Ventures is a leading venture capital firm with offices in Menlo Park and Boston. They bring capital, experience, and strategic",Venture Capital,"Early Stage Venture, Late Stage Venture",32,,
Amerindo Investment Advisors,https://www.crunchbase.com/organization/amerindo-investment-advisors,56,24,"New York, New York, United States",Amerindo Investment Advisors was an investment advisory services firm,Venture Capital,Early Stage Venture,52,,
FTV Capital,https://www.crunchbase.com/organization/ftv-capital,55,15,"San Francisco, California, United States","Growth equity firm focused on high growth companies in enterprise solutions, financial services, and payments/transaction processing.",Private Equity Firm,"Late Stage Venture, Private Equity",46,,
Detroit Venture Partners,https://www.crunchbase.com/organization/detroit-venture-partners,55,7,"Detroit, Michigan, United States",Detroit Venture Partners is an American venture capital firm that funds seed- and early-stage technology companies.,Venture Capital,"Early Stage Venture, Seed",30,,
Applied Ventures,https://www.crunchbase.com/organization/applied-ventures,55,11,"Santa Clara, California, United States","Applied Ventures is the venture capital fund of Applied Materials, Inc., (NASDAQ: AMAT), the global leader in nanomanufacturing technology",Corporate Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",37,,
Draper Triangle,https://www.crunchbase.com/organization/draper-triangle-ventures,55,14,"Pittsburgh, Pennsylvania, United States",Draper Triangle Ventures is the Midwest-based Network Partner of the Draper Venture Network,Venture Capital,,31,,
Homebrew,https://www.crunchbase.com/organization/homebrew-ventures,55,1,"San Francisco, California, United States",Homebrew provides seed-stage fund and operational expertise for entrepreneurs building the bottom up economy.,Venture Capital,"Early Stage Venture, Seed",38,,
